subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,13,depth_duration_stimuli/000569_2014-06-09_22-51-47_260595134347_rgbf000141-resize_3/000569_2014-06-09_22-51-47_260595134347_rgbf000141-resize-original.jpg,125,4.512,5,2814,126,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,14,depth_duration_stimuli/002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize_3/002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize_3-target.png,125,1.804666667,1,3734,124,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,15,depth_duration_stimuli/001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize_2/001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize_2-target.png,125,2.24,5,2887,125,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,16,depth_duration_stimuli/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1-target.png,125,4.767,5,2526,124,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,17,depth_duration_stimuli/001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize_1/001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize_1-target.png,125,4.1045,4,2518,100,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,18,depth_duration_stimuli/002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize_1/002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize_1-target.png,125,4.6705,2,2831,100,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,19,depth_duration_stimuli/002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize_1/002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize_1-target.png,125,3.836,3,2783,157,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,20,depth_duration_stimuli/002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize_1/002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize_1-target.png,125,3.62,3,2763,122,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,21,depth_duration_stimuli/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3-target.png,125,4.153,4,2174,76,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
X,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_6.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#28,28,1366,625,1366,768,8/21/22,7-36-54,22,depth_duration_stimuli/003492_2014-05-21_15-50-55_094959634447_rgbf000828-resize_1/003492_2014-05-21_15-50-55_094959634447_rgbf000828-resize_1-target.png,125,4.06875,3,2185,146,meters,jsons/VE125_randls_6.json,600437,740696,28,Woman
